kommune_kode,kommune_navn,indicator_id,ratio,raw_value,unit,data_year,source,category,dimension,reference
665,Lemvig,selvvurderet_helbred,100.04,82.1,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
707,Norddjurs,selvvurderet_helbred,94.8,77.8,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
330,Slagelse,selvvurderet_helbred,95.9,78.7,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
306,Odsherred,selvvurderet_helbred,94.68,77.7,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
575,Vejen,selvvurderet_helbred,98.09,80.5,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
376,Guldborgsund,selvvurderet_helbred,94.31,77.4,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
849,Jammerbugt,selvvurderet_helbred,95.9,78.7,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
326,Kalundborg,selvvurderet_helbred,93.22,76.5,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
390,Vordingborg,selvvurderet_helbred,90.53,74.3,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
550,Tønder,selvvurderet_helbred,96.99,79.6,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
360,Lolland,selvvurderet_helbred,93.95,77.1,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
741,Samsø,selvvurderet_helbred,99.31,81.5,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
482,Langeland,selvvurderet_helbred,90.78,74.5,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
201,Allerød,mentalt_helbred,143.51,11.1,%,2025,Sundhedsprofilen 2025,social,sundhed,15.9293
153,Brøndby,mentalt_helbred,74.79,21.3,%,2025,Sundhedsprofilen 2025,social,sundhed,15.9293
175,Rødovre,mentalt_helbred,109.86,14.5,%,2025,Sundhedsprofilen 2025,social,sundhed,15.9293
155,Dragør,mentalt_helbred,110.62,14.4,%,2025,Sundhedsprofilen 2025,social,sundhed,15.9293
190,Furesø,mentalt_helbred,116.27,13.7,%,2025,Sundhedsprofilen 2025,social,sundhed,15.9293
167,Hvidovre,mentalt_helbred,95.39,16.7,%,2025,Sundhedsprofilen 2025,social,sundhed,15.9293
230,Rudersdal,mentalt_helbred,127.43,12.5,%,2025,Sundhedsprofilen 2025,social,sundhed,15.9293
746,Skanderborg,mentalt_helbred,133.86,11.9,%,2025,Sundhedsprofilen 2025,social,sundhed,15.9293
269,Solrød,mentalt_helbred,112.97,14.1,%,2025,Sundhedsprofilen 2025,social,sundhed,15.9293
265,Roskilde,mentalt_helbred,92.08,17.3,%,2025,Sundhedsprofilen 2025,social,sundhed,15.9293
240,Egedal,mentalt_helbred,115.43,13.8,%,2025,Sundhedsprofilen 2025,social,sundhed,15.9293
151,Ballerup,mentalt_helbred,86.1,18.5,%,2025,Sundhedsprofilen 2025,social,sundhed,15.9293
223,Hørsholm,mentalt_helbred,150.0,10.3,%,2025,Sundhedsprofilen 2025,social,sundhed,15.9293
185,Tårnby,mentalt_helbred,103.44,15.4,%,2025,Sundhedsprofilen 2025,social,sundhed,15.9293
