kommune_kode,indicator_id,aar,raw_value
153,ensomhed,2021,13.5
153,ensomhed,2025,13.7
155,ensomhed,2021,9.5
155,ensomhed,2025,7.7
157,ensomhed,2021,9.6
157,ensomhed,2025,8.7
159,ensomhed,2021,13.7
159,ensomhed,2025,11.3
161,ensomhed,2021,14.4
161,ensomhed,2025,12.1
163,ensomhed,2021,12.9
163,ensomhed,2025,10.8
165,ensomhed,2021,15.1
165,ensomhed,2025,15.1
167,ensomhed,2021,12.3
167,ensomhed,2025,11.6
169,ensomhed,2021,14.1
169,ensomhed,2025,14.5
173,ensomhed,2021,12.5
173,ensomhed,2025,9.2
175,ensomhed,2021,12.1
175,ensomhed,2025,9.4
183,ensomhed,2021,12.8
183,ensomhed,2025,14.0
185,ensomhed,2021,12.4
185,ensomhed,2025,9.5
187,ensomhed,2021,10.6
187,ensomhed,2025,9.9
190,ensomhed,2021,9.6
190,ensomhed,2025,9.7
201,ensomhed,2021,9.9
201,ensomhed,2025,7.4
210,ensomhed,2021,11.9
210,ensomhed,2025,8.6
217,ensomhed,2021,11.2
217,ensomhed,2025,8.8
219,ensomhed,2021,12.0
219,ensomhed,2025,11.7
223,ensomhed,2021,8.3
223,ensomhed,2025,7.8
230,ensomhed,2021,9.5
230,ensomhed,2025,7.1
240,ensomhed,2021,9.1
240,ensomhed,2025,8.0
250,ensomhed,2021,10.9
250,ensomhed,2025,10.8
253,ensomhed,2021,10.3
253,ensomhed,2025,11.0
259,ensomhed,2021,13.3
259,ensomhed,2025,9.5
260,ensomhed,2021,10.9
260,ensomhed,2025,11.1
265,ensomhed,2021,11.4
265,ensomhed,2025,11.6
269,ensomhed,2021,10.2
269,ensomhed,2025,8.6
270,ensomhed,2021,12.2
270,ensomhed,2025,9.6
306,ensomhed,2021,12.7
306,ensomhed,2025,10.8
316,ensomhed,2021,12.8
316,ensomhed,2025,12.5
320,ensomhed,2021,12.2
320,ensomhed,2025,12.3
326,ensomhed,2021,15.9
326,ensomhed,2025,14.1
329,ensomhed,2021,13.2
329,ensomhed,2025,11.6
330,ensomhed,2021,13.7
330,ensomhed,2025,10.9
336,ensomhed,2021,12.9
336,ensomhed,2025,9.3
340,ensomhed,2021,11.6
340,ensomhed,2025,10.2
350,ensomhed,2021,11.9
350,ensomhed,2025,10.6
360,ensomhed,2021,12.6
360,ensomhed,2025,13.3
370,ensomhed,2021,14.2
370,ensomhed,2025,9.9
376,ensomhed,2021,11.5
376,ensomhed,2025,11.7
390,ensomhed,2021,12.5
390,ensomhed,2025,12.6
400,ensomhed,2021,10.9
400,ensomhed,2025,10.6
410,ensomhed,2021,9.6
410,ensomhed,2025,7.9
420,ensomhed,2021,9.3
420,ensomhed,2025,8.6
430,ensomhed,2021,10.6
430,ensomhed,2025,9.3
440,ensomhed,2021,9.6
440,ensomhed,2025,8.7
450,ensomhed,2021,13.0
450,ensomhed,2025,9.5
461,ensomhed,2021,13.3
461,ensomhed,2025,11.3
479,ensomhed,2021,10.0
479,ensomhed,2025,9.2
480,ensomhed,2021,10.2
480,ensomhed,2025,9.8
482,ensomhed,2021,9.3
482,ensomhed,2025,10.4
492,ensomhed,2021,9.6
492,ensomhed,2025,7.5
510,ensomhed,2021,9.8
510,ensomhed,2025,9.4
530,ensomhed,2021,11.6
530,ensomhed,2025,9.4
540,ensomhed,2021,10.7
540,ensomhed,2025,9.5
550,ensomhed,2021,8.6
550,ensomhed,2025,9.0
561,ensomhed,2021,12.0
561,ensomhed,2025,9.0
563,ensomhed,2021,8.3
563,ensomhed,2025,7.0
573,ensomhed,2021,9.1
573,ensomhed,2025,7.9
575,ensomhed,2021,10.0
575,ensomhed,2025,9.5
580,ensomhed,2021,10.0
580,ensomhed,2025,9.0
607,ensomhed,2021,11.4
607,ensomhed,2025,11.9
615,ensomhed,2021,14.8
615,ensomhed,2025,12.0
621,ensomhed,2021,10.7
621,ensomhed,2025,12.6
630,ensomhed,2021,11.2
630,ensomhed,2025,9.6
657,ensomhed,2021,11.2
657,ensomhed,2025,12.2
661,ensomhed,2021,12.3
661,ensomhed,2025,11.8
665,ensomhed,2021,10.7
665,ensomhed,2025,8.6
671,ensomhed,2021,12.5
671,ensomhed,2025,12.0
706,ensomhed,2021,11.9
706,ensomhed,2025,8.6
707,ensomhed,2021,13.5
707,ensomhed,2025,9.6
710,ensomhed,2021,12.0
710,ensomhed,2025,9.0
727,ensomhed,2021,11.7
727,ensomhed,2025,9.8
730,ensomhed,2021,13.9
730,ensomhed,2025,10.5
740,ensomhed,2021,13.2
740,ensomhed,2025,8.4
741,ensomhed,2021,13.9
741,ensomhed,2025,8.5
746,ensomhed,2021,14.5
746,ensomhed,2025,9.2
751,ensomhed,2021,14.9
751,ensomhed,2025,11.1
756,ensomhed,2021,11.8
756,ensomhed,2025,9.1
760,ensomhed,2021,11.8
760,ensomhed,2025,9.0
766,ensomhed,2021,13.5
766,ensomhed,2025,8.1
773,ensomhed,2021,11.1
773,ensomhed,2025,11.6
779,ensomhed,2021,11.8
779,ensomhed,2025,12.1
787,ensomhed,2021,12.1
787,ensomhed,2025,11.5
791,ensomhed,2021,13.7
791,ensomhed,2025,10.8
810,ensomhed,2021,11.4
810,ensomhed,2025,11.3
813,ensomhed,2021,12.9
813,ensomhed,2025,10.8
820,ensomhed,2021,11.6
820,ensomhed,2025,10.6
825,ensomhed,2021,9.2
825,ensomhed,2025,10.4
840,ensomhed,2021,11.3
840,ensomhed,2025,9.8
846,ensomhed,2021,8.4
846,ensomhed,2025,12.5
849,ensomhed,2021,10.2
849,ensomhed,2025,10.4
851,ensomhed,2021,13.6
851,ensomhed,2025,11.7
860,ensomhed,2021,11.4
860,ensomhed,2025,10.6
101,fysisk_aktivitet,2021,50.3
101,fysisk_aktivitet,2025,41.0
147,fysisk_aktivitet,2021,48.5
147,fysisk_aktivitet,2025,42.8
151,fysisk_aktivitet,2021,57.2
151,fysisk_aktivitet,2025,52.2
153,fysisk_aktivitet,2021,63.4
153,fysisk_aktivitet,2025,58.2
155,fysisk_aktivitet,2021,52.9
155,fysisk_aktivitet,2025,47.9
157,fysisk_aktivitet,2021,50.4
157,fysisk_aktivitet,2025,42.4
159,fysisk_aktivitet,2021,56.9
159,fysisk_aktivitet,2025,48.5
161,fysisk_aktivitet,2021,61.8
161,fysisk_aktivitet,2025,56.4
163,fysisk_aktivitet,2021,58.5
163,fysisk_aktivitet,2025,54.4
165,fysisk_aktivitet,2021,60.6
165,fysisk_aktivitet,2025,53.3
167,fysisk_aktivitet,2021,59.6
167,fysisk_aktivitet,2025,54.2
169,fysisk_aktivitet,2021,62.0
169,fysisk_aktivitet,2025,53.3
173,fysisk_aktivitet,2021,52.2
173,fysisk_aktivitet,2025,43.8
175,fysisk_aktivitet,2021,59.7
175,fysisk_aktivitet,2025,49.9
183,fysisk_aktivitet,2021,63.6
183,fysisk_aktivitet,2025,56.8
185,fysisk_aktivitet,2021,57.3
185,fysisk_aktivitet,2025,50.8
187,fysisk_aktivitet,2021,59.0
187,fysisk_aktivitet,2025,49.1
190,fysisk_aktivitet,2021,50.5
190,fysisk_aktivitet,2025,44.7
201,fysisk_aktivitet,2021,51.4
201,fysisk_aktivitet,2025,46.0
210,fysisk_aktivitet,2021,56.7
210,fysisk_aktivitet,2025,50.8
217,fysisk_aktivitet,2021,58.4
217,fysisk_aktivitet,2025,48.5
219,fysisk_aktivitet,2021,56.8
219,fysisk_aktivitet,2025,51.2
223,fysisk_aktivitet,2021,51.8
223,fysisk_aktivitet,2025,47.9
230,fysisk_aktivitet,2021,53.0
230,fysisk_aktivitet,2025,45.3
240,fysisk_aktivitet,2021,55.8
240,fysisk_aktivitet,2025,51.1
250,fysisk_aktivitet,2021,58.4
250,fysisk_aktivitet,2025,56.3
253,fysisk_aktivitet,2021,56.8
253,fysisk_aktivitet,2025,54.7
259,fysisk_aktivitet,2021,56.5
259,fysisk_aktivitet,2025,53.8
260,fysisk_aktivitet,2021,61.7
260,fysisk_aktivitet,2025,58.5
265,fysisk_aktivitet,2021,53.8
265,fysisk_aktivitet,2025,49.9
269,fysisk_aktivitet,2021,52.3
269,fysisk_aktivitet,2025,49.7
270,fysisk_aktivitet,2021,62.3
270,fysisk_aktivitet,2025,52.8
306,fysisk_aktivitet,2021,62.4
306,fysisk_aktivitet,2025,61.9
316,fysisk_aktivitet,2021,58.0
316,fysisk_aktivitet,2025,56.5
320,fysisk_aktivitet,2021,61.3
320,fysisk_aktivitet,2025,62.3
