kommune_kode,selvvurderet_helbred_pct,selvvurderet_helbred_ratio,mentalt_helbred_pct,mentalt_helbred_ratio,rygning_pct,rygning_ratio,alkohol_pct,alkohol_ratio,fysisk_aktivitet_pct,fysisk_aktivitet_ratio,kost_pct,kost_ratio,svaer_overvaegt_pct,svaer_overvaegt_ratio,ensomhed_pct,ensomhed_ratio,social_stoette_pct,social_stoette_ratio,selvvurderet_helbred_ref,mentalt_helbred_ref,rygning_ref,alkohol_ref,fysisk_aktivitet_ref,kost_ref,svaer_overvaegt_ref,ensomhed_ref,social_stoette_ref
330,78.7,95.9,18.3,87.05,13.4,78.13,11.5,125.01,55.6,92.49,20.7,88.82,23.3,79.1,10.9,99.08,4.8,108.4,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
336,83.2,101.38,15.6,102.11,12.8,81.8,16.3,88.2,57.3,89.75,20.0,91.93,20.2,91.24,9.3,116.12,6.3,82.59,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
340,80.0,97.48,14.5,109.86,13.0,80.54,13.8,104.18,56.2,91.5,15.6,117.85,20.3,90.79,10.2,105.88,4.4,118.26,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
350,83.0,101.13,14.0,113.78,10.1,103.66,15.3,93.96,53.4,96.3,16.7,110.09,17.4,105.92,10.6,101.88,3.4,150,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
360,77.1,93.95,17.4,91.55,18.3,57.21,15.9,90.42,60.6,84.86,26.0,70.71,25.7,71.71,13.3,81.2,5.5,94.61,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
370,80.3,97.85,18.2,87.52,11.7,89.49,11.2,128.36,55.0,93.5,20.7,88.82,21.5,85.72,9.9,109.08,4.5,115.63,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
376,77.4,94.31,16.2,98.33,13.6,76.99,13.0,110.59,61.0,84.3,19.7,93.33,24.0,76.79,11.7,92.3,5.6,92.92,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
390,74.3,90.53,18.3,87.05,14.8,70.74,14.3,100.54,60.4,85.14,20.5,89.68,22.8,80.84,12.6,85.71,6.3,82.59,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
400,78.7,95.9,13.9,114.6,15.2,68.88,14.4,99.84,54.8,93.84,19.0,96.76,19.7,93.56,10.6,101.88,5.1,102.03,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
410,84.7,103.21,13.5,118.0,10.0,104.7,16.7,86.09,53.1,96.85,19.7,93.33,20.2,91.24,7.9,136.7,5.8,89.71,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
420,79.9,97.36,13.8,115.43,12.1,86.53,15.0,95.84,57.2,89.9,22.4,82.08,24.4,75.54,8.6,125.57,5.4,96.36,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
430,81.1,98.82,15.1,105.49,13.1,79.92,17.3,83.1,56.0,91.83,19.1,96.26,21.9,84.16,9.3,116.12,4.9,106.19,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
440,79.1,96.38,15.7,101.46,10.4,100.67,15.7,91.57,58.2,88.36,21.7,84.72,22.5,81.91,8.7,124.13,4.2,123.89,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
450,81.1,98.82,13.8,115.43,12.1,86.53,15.2,94.58,52.4,98.14,23.1,79.59,21.8,84.54,9.5,113.68,3.3,150,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
461,82.7,100.77,17.0,93.7,8.3,126.14,15.1,95.21,49.1,104.73,18.1,101.58,15.9,115.92,11.3,95.57,4.9,106.19,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
479,83.3,101.5,13.5,118.0,11.2,93.48,17.3,83.1,53.2,96.66,16.6,110.75,17.8,103.54,9.2,117.38,4.1,126.91,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
480,81.0,98.7,15.2,104.8,12.9,81.16,14.0,102.69,55.1,93.33,24.5,75.04,25.6,71.99,9.8,110.2,5.1,102.03,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
482,74.5,90.78,14.9,106.91,14.6,71.71,19.3,74.49,59.1,87.01,20.1,91.47,24.8,74.32,10.4,103.84,5.0,104.07,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
492,81.5,99.31,12.3,129.51,12.5,83.76,20.4,70.47,58.4,88.06,18.3,100.47,18.7,98.56,7.5,143.99,4.1,126.91,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
510,81.2,98.94,15.4,103.44,9.3,112.58,11.6,123.94,54.0,95.23,25.0,73.54,22.4,82.28,9.4,114.89,5.1,102.03,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
530,80.8,98.45,14.9,106.91,10.4,100.67,14.4,99.84,52.8,97.4,19.4,94.77,24.3,75.85,9.4,114.89,6.5,80.05,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
540,81.9,99.79,14.1,112.97,10.4,100.67,11.1,129.52,55.3,92.99,21.7,84.72,20.2,91.24,9.5,113.68,5.5,94.61,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
550,79.6,96.99,13.5,118.0,14.4,72.71,13.3,108.09,56.4,91.18,24.2,75.97,24.0,76.79,9.0,119.99,4.7,110.71,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
